Mandatory/Elective,Course Code,Course Name,Instructor,Credits,Acronym,Day,Start Time,End Time,Group,Message,Venue
Elective,SSHC211,Theatre Appreciation-Manohar Khushlani(V),Manohar Khushlani(V),4,TA,Monday,0400PM,0530PM,0,Lecture,C12
Elective,PSY201,Introduction to Psychology-Sonia Baloni Ray,Sonia Baloni Ray,4,PSY,Thursday,1200PM,0130PM,0,Lecture,C213
Elective,ECE543,Principals of Digital Communication System-Anand Srivastava,Anand Srivastava,4,PDCS,Friday,0230PM,0400PM,0,Lecture,C213
Elective,ECE111,Digital Circuits-G S Visweswaran(V),G S Visweswaran(V),4,DC,Wednesday,1000AM,1100AM,0,Lecture,C101
Elective,CSE201,Advanced Programming-Vivek Kumar,Vivek Kumar,4,AP,Friday,0300PM,0400PM,0,Lab,Lab Lab 315
Elective,CSE201,Advanced Programming-Vivek Kumar,Vivek Kumar,4,AP,Thursday,0230PM,0400PM,0,Lecture,C102
Elective,ECE314/ECE514,Digital VLSI Design-Anuj Grover,Anuj Grover,4,DVD,Friday,1030AM,1200PM,0,Lecture,A007
Elective,CSE101,Introduction to Programming-Vikram Goyal,Vikram Goyal,4,IP,Tuesday,0130PM,0230PM,0,Tutorial,C24
Elective,ECE111,Digital Circuits-Sneh Saurabh,Sneh Saurabh,4,DC,Wednesday,1100AM,1200PM,0,Tutorial,C23
Elective,CSE121,Discrete Mathematics-Smarith Ram,Smarith Ram,4,DM,Wednesday,0200PM,0300PM,0,Tutorial,C12
Elective,CSE558,Data Science(New)-Debarka Sengupta,Debarka Sengupta,4,DSC,Tuesday,0230PM,0400PM,0,Lecture,C11
Elective,MTH340/MTH540,Real Analysis II-Shilpak Banerjee,Shilpak Banerjee,4,RA-II,Wednesday,0230PM,0400PM,0,Tutorial,C214
Elective,SSH216,Introduction to Indian Mythology-Saumya Kulshreshtha(G),Saumya Kulshreshtha(G),2,IIM,Tuesday,0430PM,0600PM,0,Lecture,C02
Elective,CSE112,Computer Organization-Naveen Prakash(V),Naveen Prakash(V),4,CO,Friday,1100AM,1200PM,0,Tutorial,C208
Elective,ECE570,Control Theory-Sanat Biswas,Sanat Biswas,4,CNT,Thursday,0900AM,1030AM,0,Lecture,C208
Elective,BIO512,Foundations of Modern Biology-Vibhor Kumar,Vibhor Kumar,4,FOMB,Thursday,1200PM,0130PM,0,Lecture,C215
Elective,COM101,Communications Skills-Payel C Mukherjee+ Rekha Shorey+ Honey Jhalani+ Utkrishti Taneja+ Syeda Asia+ Deepti Sharma+ Devika N,Payel C Mukherjee+ Rekha Shorey+ Honey Jhalani+ Utkrishti Taneja+ Syeda Asia+ Deepti Sharma+ Devika N,4,COM,Thursday,0130PM,0430PM,0,Lecture,C208
Elective,COM101,Communications Skills-Rekha Shorey+ Honey Jhalani+ Syeda Asia+ Deepti Sharma+ Devika N,Rekha Shorey+ Honey Jhalani+ Syeda Asia+ Deepti Sharma+ Devika N,4,COM,Wednesday,0130PM,0430PM,0,Lecture,C210
Elective,MTH203,Math-III-Sarthok Sircar,Sarthok Sircar,4,M-III,Thursday,1200PM,0130PM,0,Tutorial,C02
Elective,MTH340/MTH540,Real Analysis II-Shilpak Banerjee,Shilpak Banerjee,4,RA-II,Monday,1030AM,1200PM,0,Lecture,CC211
Elective,CSE101,Introduction to Programming-V Raghava Muthuraju,V Raghava Muthuraju,4,IP,Monday,0200PM,0300PM,0,Tutorial,C13
Elective,BIO2xx,Genetics and Molecular Biology(New)-Gaurav Ahuja,Gaurav Ahuja,4,GMB,Thursday,1130AM,0130PM,0,Lab,Lab 318
Elective,CSELab 301/CSE601,Compilers-Piyus Kedia,Piyus Kedia,4,CMP,Monday,1030AM,1200PM,0,Lecture,C216
Elective,MTH371,Stochastic Processes and Applicaitions-Monika Arora,Monika Arora,4,SPA,Thursday,0900AM,1030AM,0,Lecture,A007
Elective,SSH201,Research Methods in Social Science and Design-Venkata Ratandeep Suri,Venkata Ratandeep Suri,4,RMSSD,Friday,1200PM,0130PM,0,Lecture,A007
Elective,CSE343/CSE543ECE563,Machine Learning-UG-Jainendra ShuklaPG-Saket Anand,UG-Jainendra ShuklaPG-Saket Anand,4,ML,Monday,0230PM,0400PM,0,Lecture,C11
Elective,PSY201,Introduction to Psychology-Sonia Baloni Ray,Sonia Baloni Ray,4,PSY,Tuesday,1200PM,0130PM,0,Lecture,C213
Elective,MTH100,Math I-Acushla Saraswat,Acushla Saraswat,4,M-I,Thursday,1030AM,1200PM,0,Tutorial,LR1
Elective,BIO2xx,Cell Biology and Biochemistry(New)-Arjun Ray,Arjun Ray,4,CBB,Thursday,1130AM,0130PM,0,Lab,Lab 318
